, etot, eang, etor, evdw, ehb, ecoul, density
50 , -574.11307309 , 4.7360003 , 7.84702814 , 101.67033261 , -0.3134324 , -16.99351825 , 1.862411825463359
51 , -574.22098719 , 4.83661837 , 7.8995804 , 101.83452421 , -0.29155092 , -17.1575802 , 1.872303473375298
52 , -574.11309752 , 4.73580238 , 7.84695292 , 101.66987948 , -0.31339833 , -16.99325674 , 1.8624023011360733
53 , -573.97653355 , 5.44398318 , 7.58425748 , 102.50327382 , -0.28698926 , -17.08402746 , 1.9035322892782947
54 , -573.93251473 , 5.38325943 , 7.63153325 , 102.42497728 , -0.29183385 , -16.59765005 , 1.9231261165971472
55 , -574.25075367 , 4.85145883 , 7.93237407 , 101.75788717 , -0.29486039 , -17.22617025 , 1.899632542961551
56 , -573.91061339 , 5.01025645 , 7.57570127 , 102.0290884 , -0.23284633 , -16.25238243 , 1.9260502585003039
57 , -573.96573043 , 5.3800826 , 7.52188451 , 102.56324895 , -0.29752138 , -16.68845991 , 1.9361350703818343
58 , -574.02444151 , 5.18752696 , 7.6283464 , 102.43878902 , -0.30323904 , -16.08526314 , 1.8738009141767624
59 , -573.96576734 , 5.37877634 , 7.52229861 , 102.56405595 , -0.29755864 , -16.68843018 , 1.935998095334719
60 , -573.91604409 , 4.99844381 , 7.5762102 , 102.03934223 , -0.23005192 , -16.205639 , 1.9131489600030356
61 , -574.23885143 , 4.75504587 , 7.66987338 , 101.84251982 , -0.26205466 , -16.55575669 , 1.8784958748697267
62 , -573.96577803 , 5.37793893 , 7.52229517 , 102.55952095 , -0.29757233 , -16.68814191 , 1.9358925642216678
63 , -573.90879813 , 5.01135688 , 7.58122816 , 102.04175792 , -0.2379996 , -16.28215916 , 1.9253933472721767
64 , -573.91581528 , 4.99848503 , 7.58230261 , 102.06167395 , -0.23190498 , -16.22440081 , 1.908396903081485
65 , -573.89973803 , 4.98876225 , 8.01955387 , 101.74310995 , -0.28870887 , -16.70795183 , 1.9109989882798841
66 , -573.9657733 , 5.3780737 , 7.52243356 , 102.56216429 , -0.29755774 , -16.68821605 , 1.9359467479872823
67 , -574.02111045 , 5.18646618 , 7.63934756 , 102.41668092 , -0.30387884 , -16.03800987 , 1.8767708441358115
68 , -573.68717867 , 4.98038588 , 7.73816799 , 102.01579952 , -0.24135441 , -15.87414197 , 1.8070813420799539
69 , -573.73322048 , 5.40778432 , 7.58726304 , 102.51668882 , -0.2830581 , -16.03857627 , 1.8857140797428198
70 , -573.9156944 , 5.00199435 , 7.57131111 , 102.02384166 , -0.22345439 , -16.17899549 , 1.9156057140743596
71 , -573.98050773 , 4.9063222 , 7.75387746 , 101.90684545 , -0.24481131 , -16.35360438 , 1.8553168450007302
72 , -573.73451886 , 4.98946522 , 7.72250989 , 102.08721334 , -0.23694739 , -16.02865957 , 1.7938409344498982
73 , -573.86912982 , 5.11912969 , 7.45252605 , 102.25538092 , -0.222153 , -16.23577327 , 1.8754829020753248
74 , -573.91668159 , 4.99966274 , 7.57385772 , 102.04366536 , -0.22803847 , -16.19707714 , 1.9122320521292466
75 , -573.72901849 , 5.39145653 , 7.58826375 , 102.47845184 , -0.27997204 , -15.97422085 , 1.893548883045895
76 , -574.21553525 , 4.83784673 , 7.89785302 , 101.8398063 , -0.28954774 , -17.10705952 , 1.873102064402985
77 , -573.91708708 , 4.99747092 , 7.57366735 , 102.04397721 , -0.22785439 , -16.20187238 , 1.9101981653153808
78 , -573.96574881 , 5.37935878 , 7.5220145 , 102.56376544 , -0.29754013 , -16.68846986 , 1.936089237298701
79 , -573.92576024 , 5.04060971 , 7.52728374 , 102.11398265 , -0.22047421 , -16.21519219 , 1.888209060459553
80 , -574.25796452 , 5.12863464 , 7.66520665 , 102.02710742 , -0.29014693 , -17.20443259 , 1.9606613836571352
81 , -574.27341339 , 4.87003681 , 7.82169254 , 101.91686971 , -0.30107262 , -17.09823631 , 1.936851404057257
82 , -574.27365417 , 4.86716554 , 7.8210275 , 101.91703731 , -0.30135947 , -17.09619569 , 1.9364693916169695
